race_id,horse_id,rider_id,owner_id,tamer_id,frame_number,horse_number,first_3f_rank,last_3f_rank,rank,goal_time,goal_time_dif,last_time,odds,age,sex,popular,horse_weight,horse_weight_dif,burden_weight,burden_weight_rate,training
200805020611,2005101358,700,128008,1044,5,9,16,11,1,94.2,0,33.9,4.3,3,0,1,508,0,57,0.1122047244,3
200805020611,2005102491,711,708800,1011,3,5,12,5,2,94.5,0.3,34.6,9.2,3,0,3,526,-4,57,0.108365019,2
200805020611,2005110196,1093,619800,343,7,14,18,16,3,94.8,0.6,34.2,32,3,0,14,456,-2,57,0.125,3
200805020611,2005105009,1095,542800,1028,4,7,10,11,4,95.4,1.2,35.1,29.9,3,0,13,464,0,57,0.1228448276,2
200805020611,2005110115,666,948006,419,7,15,13,16,5,95.5,1.3,34.9,4.7,3,0,2,468,2,57,0.1217948718,3
200805020611,2005102294,1032,758005,244,2,3,6,8,6,95.5,1.3,35.5,19.5,3,0,9,498,-2,57,0.1144578313,3
200805020611,2005101219,660,794002,399,1,1,6,5,7,95.6,1.4,35.7,11.6,3,0,6,508,2,57,0.1122047244,3
200805020611,2005105054,5203,96007,261,4,8,13,11,8,95.7,1.5,35.4,10.3,3,0,5,480,12,57,0.11875,3
200805020611,2005101851,732,772002,131,2,4,4,5,9,95.7,1.5,35.8,18.5,3,0,8,456,-4,57,0.125,2
200805020611,2005110172,1014,584007,1028,8,16,10,14,10,95.7,1.5,35.3,14.6,3,0,7,472,4,57,0.1207627119,2
200805020611,2005110152,1025,33700,436,8,17,16,18,11,95.8,1.6,35.1,28.4,3,0,12,466,4,57,0.1223175966,2
200805020611,2005110186,422,685006,1086,6,11,1,1,12,95.9,1.7,36.7,9.5,3,0,4,524,-4,57,0.108778626,3
200805020611,2005100605,1085,994002,1075,3,6,3,3,13,96,1.8,36.4,34.8,3,1,15,452,-4,55,0.1216814159,2
200805020611,2005104397,641,33700,430,5,10,13,14,14,96,1.8,35.6,105.5,3,0,18,472,8,57,0.1207627119,3
200805020611,2005110119,712,935003,1039,1,2,6,9,15,96.2,2,36.1,86.4,3,0,17,490,-8,57,0.1163265306,2
200805020611,2005103513,684,304030,1048,7,13,4,3,16,96.4,2.2,36.7,59.8,3,0,16,540,0,57,0.1055555556,2
200805020611,2005106435,705,248005,382,8,18,2,2,17,97.1,2.9,37.8,23.2,3,0,10,502,6,57,0.1135458167,2
200805020611,2005103587,945,486800,1069,6,12,6,9,18,98.1,3.9,37.9,28.4,3,0,11,462,0,57,0.1233766234,2
200905020611,2006100529,1116,839004,1039,2,3,2,2,1,92.4,0,34.7,39.8,3,0,10,490,2,57,0.1163265306,2
200905020611,2006105511,660,180800,386,7,13,4,4,2,92.7,0.3,33.7,9.7,3,0,5,510,2,57,0.1117647059,2
200905020611,2006103499,422,796008,1075,5,10,3,3,3,93,0.6,34.1,68.9,3,1,13,432,4,55,0.1273148148,2
200905020611,2006104838,1085,546800,1097,5,9,5,5,4,93.1,0.7,33.9,60.4,3,0,11,494,0,57,0.1153846154,2
200905020611,2006102859,945,486800,1059,8,18,5,5,5,93.3,0.9,34.2,8.1,3,0,4,452,4,57,0.1261061947,3
