horse_id,tamer_id,owner_id,producer_id,father,faths_father,faths_mother,mother,moths_father,moths_mother
2005100605,1075,994002,430129,1997110025,000a00193b,000a00abee,1994101747,1983109006,1986100321
2005101219,399,794002,530009,1994109686,000a001a8f,000a00039b,1995105643,000a000d87,000a0064c1
2005101358,1044,128008,900049,1998101516,000a00033a,1987103805,000a00fb01,000a001b87,000a00fb0d
2005101851,1090,772002,530373,1987105368,1977103827,1977103642,1993108779,000a00004c,1981100723
2005102294,244,758005,393126,1989108341,1982101222,1984104366,1997103424,1983109006,1984101441
2005102491,1011,708800,370126,1998110135,000a00013a,000a000071,1998102634,1990102314,1984104684
2005103513,1048,304030,230397,1997100569,000a00033a,000a00645f,1998106330,000a0001d4,1990105497
2005103587,1069,486800,NaN,1989108341,1982101222,1984104366,1996102961,000a001c1d,000a00656e
2005104397,430,33700,203025,000a000013,000a001607,000a009232,000a006677,000a0016eb,000a00010c
2005105009,1028,542800,NaN,1997110025,000a00193b,000a00abee,1996107343,000a00033a,1990104577
2005105054,261,96007,410343,000a000134,000a001607,000a0094a9,1994105116,1982101222,1989100591
2005106435,1099,248005,800533,1999110099,000a0016f2,000a00b2b6,2000104233,1994109686,000a006467
2005110115,419,948006,240882,000a001d7e,000a001607,000a009961,1998101038,000a00033a,000a00015d
2005110119,1039,935003,630882,000a00fa41,000a001676,000a00fac9,000a010dab,000a000178,000a010daa
2005110152,a0212,x06e26,730863,000a0108d0,000a002273,000a00b535,000a010f76,000a001d88,000a010f75
2005110172,1028,785800,560886,000a0021d8,000a001a98,000a0086fe,000a010f49,000a0015c6,000a010f48
2005110186,1038,491030,890864,000a010bae,000a001a98,000a010a73,000a010fb1,000a0022b9,000a010fb0
2005110196,343,619800,970886,000a010541,000a001607,000a010548,000a010f89,000a002215,000a00b119
2006100130,1074,122008,730009,1998110135,000a00013a,000a000071,000a006827,000a001c1d,000a00011a
2006100216,1054,948800,510045,1995108558,000a001bea,000a00a42a,000a00656d,000a0000d3,000a009ea1
