horse_id,race_id,rider_id,race_rank,where_racecourse,ground_type,distance,weather,ground_status,total_horse_number,horse_number,pace,last_time,rank,goal_time,goal_time_dif,odds,popular,horse_weight,horse_weight_dif,burden_weight,burden_weight_rate,race_date,date
2009106872,201209010311,5473,1,5,2,1600,1,1,14,2,35.5,34,1,95.5,-0.4,37.2,4,414,-12,54,0.1304347826,2012-05-06,2012-03-03
2005100605,200809020611,1014,3,9,2,1600,1,1,17,3,35.25,36.1,7,94.8,0.4,13.5,6,456,-8,55,0.1206140351,2008-05-11,2008-04-13
2005101219,200806030511,660,2,6,2,1600,1,1,16,4,35.9,35.9,1,95,-0.1,18,6,506,-2,56,0.1106719368,2008-05-11,2008-04-12
2005101358,200809020111,700,1,9,2,1800,1,1,14,2,35.15,34.8,1,106,-0.4,8.7,6,508,2,56,0.1102362205,2008-05-11,2008-03-29
2005101851,200806030811,732,3,6,2,2000,2,1,18,16,35.7,35.5,5,122.2,0.5,43.9,15,460,-2,57,0.1239130435,2008-05-11,2008-04-20
2005102294,200808030210,1032,0,8,2,1200,1,1,13,3,34.25,33.6,1,68.5,-0.2,2.4,1,500,-6,56,0.112,2008-05-11,2008-04-27
2005102491,200806030811,666,3,6,2,2000,2,1,18,10,35.7,34.8,6,122.2,0.5,5.6,2,530,-2,57,0.1075471698,2008-05-11,2008-04-20
2005103513,200805010809,5243,0,5,1,1600,1,1,11,10,36.2,38.7,3,97.9,0.9,9.5,3,540,-2,56,0.1037037037,2008-05-11,2008-02-24
2005103587,200809020308,945,0,9,1,1400,1,1,16,14,36.1,37,1,84.3,-1,3.3,2,462,6,56,0.1212121212,2008-05-11,2008-04-05
2005104397,200806030511,641,2,6,2,1600,1,1,16,9,35.9,37.5,14,96.6,1.6,63.3,12,464,-18,56,0.1206896552,2008-05-11,2008-04-12
2005105009,200806030811,1095,3,6,2,2000,2,1,18,13,35.7,36,15,123.2,1.5,33.9,13,464,4,57,0.1228448276,2008-05-11,2008-04-20
2005105054,200806020811,945,2,6,2,1800,1,1,16,2,35.95,34.9,12,109.7,0.8,3.7,2,468,2,56,0.1196581197,2008-05-11,2008-03-23
2005106435,200806030511,705,2,6,2,1600,1,1,16,3,35.9,37.7,8,95.4,0.4,9.1,4,496,-6,56,0.1129032258,2008-05-11,2008-04-12
2005110115,200809020410,666,0,9,2,1400,1,1,15,11,34.75,34.4,1,80.8,-0.7,1.7,1,466,6,56,0.1201716738,2008-05-11,2008-04-06
2005110119,200809020410,1093,0,9,2,1400,1,1,15,14,34.75,34.6,3,81.5,0.7,16.7,6,498,-6,56,0.1124497992,2008-05-11,2008-04-06
2005110152,200806020811,1025,2,6,2,1800,1,1,16,5,35.95,35.7,8,109.4,0.5,55.1,12,462,0,56,0.1212121212,2008-05-11,2008-03-23
2005110172,200806030511,1018,2,6,2,1600,1,1,16,11,35.9,35.8,2,95.1,0.1,17.4,5,468,-2,56,0.1196581197,2008-05-11,2008-04-12
2005110186,200806030511,422,2,6,2,1600,1,1,16,13,35.9,37.1,12,96,1,2.3,1,528,10,56,0.1060606061,2008-05-11,2008-04-12
2005110196,200806030511,666,2,6,2,1600,1,1,16,12,35.9,35.6,7,95.4,0.4,5.6,3,458,-2,56,0.1222707424,2008-05-11,2008-04-12
2006100130,200906030511,1032,2,6,2,1600,1,1,16,14,35.15,35,2,94.1,0.3,8.8,5,466,0,56,0.1201716738,2009-05-10,2009-04-11
2006100216,200907020311,663,1,7,2,1200,1,1,18,14,34.45,36.2,14,69.7,0.8,9.6,5,484,-2,57,0.117768595,2009-05-10,2009-03-21
2006100529,200906030511,1085,2,6,2,1600,1,1,16,3,35.15,35.5,3,94.1,0.3,7.7,3,488,0,56,0.1147540984,2009-05-10,2009-04-11
2006101093,200908030209,1018,0,8,2,1200,2,3,16,14,35.3,35.4,3,70.8,0.2,4.8,2,490,2,57,0.1163265306,2009-05-10,2009-04-26
2006101987,200906030511,1095,2,6,2,1600,1,1,16,13,35.15,36.3,8,95,1.2,27.6,9,464,-8,56,0.1206896552,2009-05-10,2009-04-11
2006102738,200909020110,5203,1,9,2,1800,1,1,14,7,35.15,34.7,4,108.2,0.2,7.2,3,440,-4,56,0.1272727273,2009-05-10,2009-03-28
2006102822,200906030511,733,2,6,2,1600,1,1,16,5,35.15,34.9,1,93.8,-0.3,2.6,1,488,-4,56,0.1147540984,2009-05-10,2009-04-11
2006102859,200906030811,945,3,6,2,2000,1,1,18,12,35.2,35.7,7,120.1,1.4,26.4,7,448,-8,57,0.1272321429,2009-05-10,2009-04-19
2006103025,200909020610,1093,3,9,2,1600,1,1,18,6,34.9,34,4,94.4,0.4,26.4,6,486,-6,55,0.1131687243,2009-05-10,2009-04-12
2006103090,200906030511,711,2,6,2,1600,1,1,16,11,35.15,35.6,6,94.7,0.9,11.2,6,456,-6,56,0.1228070175,2009-05-10,2009-04-11
2006103413,200909020110,894,1,9,2,1800,1,1,14,14,35.15,33.6,1,108,-0.1,2.7,1,528,2,56,0.1060606061,2009-05-10,2009-03-28
2006103499,200908030209,652,0,8,2,1200,2,3,16,16,35.3,35.9,1,70.6,-0.1,38.8,11,428,6,54,0.1261682243,2009-05-10,2009-04-26
2006103696,200906030511,1025,2,6,2,1600,1,1,16,15,35.15,35.6,7,94.8,1,15,7,460,-12,56,0.1217391304,2009-05-10,2009-04-11
